Fiscal Quarter,Region,State,Bank Group,Population Group,No of Offices,Deposit,Credit,Actual District (Not Decoded),District Code,Census Flag
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,FOREIGN BANKS,Urban,1,236.689,60.172,RAIPUR,760,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,2,93.143,54.086,KAWARDHA,765,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,2,185.595,16.735,DANTEWADA,763,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,2,244.9,283.471,KANKER,761,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,3,154.972,88.395,JASHPUR,707,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,4,299.738,87.663,DHAMTARI,704,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,5,474.808,209.86,RAIGARH,758,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,5,1062.492,252.621,KORBA,755,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,6,953.544,132.615,KORIYA,757,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,7,434.863,120.856,BASTAR,762,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,8,740.249,453.889,MAHASAMUND,759,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,11,1864.101,720.999,BILASPUR,754,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,14,1362.432,482.654,RAJNANDGAON,766,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,14,1766.022,951.548,JANJGIR-CHAMPA,753,2001
